"Ticker","Nome","Negócios","Última (R$)","Variação"
"OBTC3","OrangeBTC","572.600","6,66","-1,33%"
"RANI3","Irani","555.300","8,08","+0,25%"
"MILS3","Mills","527.200","13,10","-1,36%"
"CASH3","Méliuz","511.100","4,00","-4,76%"
"BMGB4","Banco BMG","508.900","5,17","-1,71%"
"VLID3","Valid","499.300","17,30","+0,58%"
"MTRE3","Mitre Realty","495.800","3,56","-1,11%"
"MYPK3","Iochpe-Maxion","491.000","9,08","-0,11%"
"PRNR3","Priner","485.600","18,25","-3,29%"
"DESK3","Desktop","481.400","17,30","-1,59%"
"MLAS3","Multilaser","480.100","1,64","-1,80%"
"GFSA3","Gafisa","472.700","1,15","-0,86%"
"VTRU3","VITRUBREPCOM","469.200","13,28","-4,39%"
"FRAS3","Fras-le","452.000","21,73","-0,18%"
"VVEO3","Viveo","448.900","1,20","-1,64%"
"ESPA3","Espaçolaser","439.400","0,84","+0,00%"
"TOKY3","Toky","429.200","0,14","-6,67%"
"JSLG3","JSL","413.200","6,76","-4,25%"
"TUPY3","Tupy","402.200","13,06","-0,76%"
"HBOR3","Helbor","398.500","2,24","-1,75%"
"CAML3","Camil Alimentos","397.500","5,55","-2,12%"
"AZEV4","Azevedo & Travassos","394.400","0,13","-7,14%"
"POSI3","Positivo","360.700","4,06","-0,73%"
"TRIS3","Trisul","340.900","4,36","-2,24%"
"MELK3","Melnick","339.900","3,27","-0,30%"
"ABCB4","Banco ABC Brasil","316.900","24,38","-0,49%"
"WIZC3","Wiz Soluções","311.000","8,03","-1,47%"
"POMO3","Marcopolo","298.100","5,91","+0,68%"
"MATD3","Mater Dei","280.300","5,06","-1,94%"
"BLAU3","Blau Farmacêutica","278.900","11,15","-0,89%"
"LOGG3","LOG CP","277.900","25,23","-0,47%"
"RENT4","Localiza","272.400","41,49","-1,94%"
"TFCO4","Track & Field","266.400","14,56","-1,22%"
"SYNE3","SYN","262.200","3,79","+0,26%"
"TGMA3","Tegma","258.400","31,44","-2,00%"
"TASA4","Taurus","246.300","4,48","+3,46%"
"PTBL3","Portobello","246.000","1,92","-1,03%"
"PFRM3","Profarma","240.200","6,47","+1,89%"
"IRBR3","IRB Brasil RE","235.700","52,25","-1,23%"
"MDIA3","M. Dias Branco","229.400","19,79","-0,30%"
"BRBI11","BR Partners","221.700","16,25","-1,81%"
"LAND3","Terra Santa","214.000","8,30","+0,00%"
"CYRE4","Cyrela","212.600","19,45","-4,42%"
"BRST3","Brisanet","208.000","2,80","+0,00%"
"SEQL3","Sequoia Logística","202.900","0,11","-8,33%"
"ENJU3","Enjoei","199.900","1,06","-3,64%"
"VITT3","Vittia","181.400","3,45","-0,58%"
"EUCA4","Eucatex","176.800","27,15","+0,00%"
"LEVE3","Mahle Metal Leve","175.800","32,42","-1,55%"
"OPCT3","OceanPact","174.400","10,08","-0,20%"
"TAEE4","Taesa","166.400","13,03","+1,01%"
"ROMI3","Indústrias ROMI","145.800","6,62","+2,80%"
"MEAL3","IMC Alimentação","145.400","1,01","+4,12%"
"ALLD3","Allied","145.300","5,85","-0,85%"
"IFCM3","Infracommerce","131.600","0,63","-1,56%"
"AGRO3","BrasilAgro","124.100","18,70","-0,43%"
"SAPR3","Sanepar","117.400","8,29","-0,24%"
"LPSB3","Lopes","104.900","1,63","-1,81%"
"SANB4","Banco Santander","101.000","14,07","-2,16%"
"UNIP6","Unipar","98.000","60,15","-0,23%"
"ITSA3","Itaúsa","93.200","12,99","-0,99%"
"HBRE3","HBR Realty","88.000","2,85","-2,06%"
"NGRD3","Neogrid","83.500","33,36","-0,21%"
"RCSL3","Recrusul","80.800","0,38","+2,70%"
"AERI3","Aeris Energy","80.000","2,40","+5,26%"
"SANB3","Banco Santander","78.100","13,05","-1,51%"
"CMIG3","Cemig","77.300","16,28","+0,00%"
"DEXP3","Dexxos","76.500","7,30","+1,81%"
"IGTI3","Iguatemi","74.800","3,66","+1,10%"
"IGTI3","Jereissati Participações","74.800","3,66","+1,10%"
"BSLI3","Banco de Brasília","73.100","3,35","-0,30%"
"FICT3","Fictor Alimentos","72.500","0,19","-5,00%"
"BIOM3","Biomm","69.600","7,25","+2,11%"
"TAEE3","Taesa","68.200","12,82","+0,16%"
"ETER3","Eternit","62.500","3,57","-0,28%"
"TPIS3","Triunfo","61.800","9,69","-6,47%"
"GGBR3","Gerdau","54.300","20,39","+0,79%"
"AMAR3","Lojas Marisa","54.100","0,67","-2,90%"
"RNEW3","Renova Energia","47.900","0,92","+1,10%"
"CSUD3","CSU Cardsystem","43.400","17,51","-0,96%"
"AGXY3","AgroGalaxy","40.500","1,88","+1,08%"
"RNEW4","Renova Energia","39.400","0,92","+2,22%"
"DMVF3","D1000 Varejo Farma","36.300","5,80","-0,17%"
"VSTE3","LE LIS BLANC","32.800","3,95","+0,00%"
"EPAR3","Embpar Participações","31.000","2,03","-7,73%"
"BRKM3","Braskem","30.500","8,34","-3,02%"
"GOAU3","Metalúrgica Gerdau","29.400","9,68","+1,15%"
"LOGN3","Log-In","28.900","29,85","-0,50%"
"WEST3","Westwing","28.600","8,01","-7,40%"
"TECN3","Technos","28.200","8,72","+0,35%"
"BMEB4","Banco Mercantil do Brasil","27.900","74,80","+0,31%"
"BSLI4","Banco de Brasília","27.500","3,34","-3,19%"
"TCSA3","Tecnisa","27.200","1,17","+1,74%"
"BRAP3","Bradespar","27.000","19,86","+0,35%"
"UCAS3","Unicasa","26.600","1,31","-2,96%"
"INEP3","Inepar","25.500","2,16","+8,00%"
"DOTZ3","Dotz","24.000","3,74","-4,10%"
"VIVR3","Viver","23.100","0,36","+0,00%"
"SCAR3","São Carlos","20.800","13,46","-0,81%"
"REDE3","Rede Energia","20.600","5,83","-2,67%"
"MTSA4","Metisa","18.800","52,99","-1,83%"
"TRAD3","Traders Club","18.500","1,49","+2,05%"
"CTAX3","Contax","17.800","0,61","+0,00%"
"CEDO4","Cedro Têxtil","16.600","6,14","-0,49%"
